M16Ï1A40B20C80D12T02 2,2,8
M16Ï1A40B20C10D22T02 2,2,9
M16Ï1A40B20C20D22T02 2,2,10
M16Ï1A40B20C30D22T02 2,2,11
M16Ï1A40B20C40D22T02 2,2,12
M16Ï1A40B20C50D22T02 2,2,13
M16Ï1A40B20C60D22T02 2,2,14
M16Ï1A40B20C70D22T02 2,2,15
M16Ï1A40B20C80D22T02 2,2,16
M16Ï1A40B60C10D12T02 2,2,17
M16Ï1A40B60C20D12T02 2,2,18
M16Ï1A40B60C30D12T02 2,2,19
M16Ï1A40B60C40D12T02 2,2,20
M16Ï1A40B60C50D12T02 2,2,21
M16Ï1A40B60C60D12T02 2,2,22
M16Ï1A40B60C70D12T02 2,2,23
M16Ï1A40B60C80D12T02 2,2,24
M16Ï1A40B60C10D22T02 2,2,25
M16Ï1A40B60C20D22T02 2,2,26
M16Ï1A40B60C30D22T02 2,2,27
M16Ï1A40B60C40D22T02 2,2,28
M16Ï1A40B60C50D22T02 2,2,29
M16Ï1A40B60C60D22T02 2,2,30
M16Ï1A40B60C70D22T02 2,2,31
M16Ï1A40B60C80D22T02 2,2,32
M16Ï1A80B20C10D12T02 2,2,33
M16Ï1A80B20C20D12T02 2,2,34 
M16Ï1A80B20C30D12T02 2,2,35
M16Ï1A80B20C40D12T02 2,2,36
M16Ï1A80B20C50D12T02 2,2,37
M16Ï1A80B20C60D12T02 2,2,38
M16Ï1A80B20C70D12T02 2,2,39
M16Ï1A80B20C80D12T02 2,2,40
M16Ï1A40B30C10D12T02 2,3,1
M16Ï1A40B30C20D12T02 2,3,2
M16Ï1A40B30C30D12T02 2,3,3
M16Ï1A40B30C40D12T02 2,3,4
M16Ï1A40B30C50D12T02 2,3,5
M16Ï1A40B30C60D12T02 2,3,6
M16Ï1A40B30C70D12T02 2,3,7
M16Ï1A40B30C80D12T02 2,3,8
M16Ï1A40B30C10D22T02 2,3,9
M16Ï1A40B30C20D22T02 2,3,10
M16Ï1A40B30C30D22T02 2,3,11
M16Ï1A40B30C40D22T02 2,3,12
M16Ï1A40B30C50D22T02 2,3,13
M16Ï1A40B30C60D22T02 2,3,14
M16Ï1A40B30C70D22T02 2,3,15
M16Ï1A40B30C80D22T02 2,3,16
M16Ï1A40B70C10D12T02 2,3,17
M16Ï1A40B70C20D12T02 2,3,18
M16Ï1A40B70C30D12T02 2,3,19
M16Ï1A40B70C40D12T02 2,3,20
M16Ï1A40B70C50D12T02 2,3,21
M16Ï1A40B70C60D12T02 2,3,22
M16Ï1A40B70C70D12T02 2,3,23
M16Ï1A40B70C80D12T02 2,3,24
M16Ï1A40B70C10D22T02 2,3,25 
